rank_zero,rank_lt20,name,name_is_placeholder,city,state,zip,county_name,county_fips,pop55_newly_covered_zero,pop55_newly_covered_lt20,tracts_within_60rdmi,county_trials,n_trials_hosted_2016plus,geocode,access_mi,lat,lon,source
637,553,The Longstreet Clinic - Gainesville,0,Gainesville,GA,30501,Hall,13139,0,27711,1105,6,1,zip,0.1,34.319037,-83.814399,registry_stand_in
638,555,878-B,0,Palestine,TX,75801,Anderson,48001,0,27461,108,7,1,zip,3.0,31.741893,-95.551175,registry_stand_in
639,556,Arizona Arthritis and Rheumatology Research PLLC 3,0,Flagstaff,AZ,86001,Coconino,04005,0,27385,29,1,1,zip,1.1,35.357736,-111.771155,registry_stand_in
640,557,Cedar City Hospital,0,Cedar City,UT,84721,Iron,49021,0,26897,19,5,1,zip,4.3,37.768677,-113.133595,registry_stand_in
641,558,137A,0,Dickson,TN,37055,Dickson,47043,0,26826,373,3,1,zip,1.5,36.077209,-87.442803,registry_stand_in
642,559,137B,0,Dickson,TN,37055,Dickson,47043,0,26826,373,3,1,zip,1.5,36.077209,-87.442803,registry_stand_in
643,560,137C,0,Dickson,TN,37055,Dickson,47043,0,26826,373,3,1,zip,1.5,36.077209,-87.442803,registry_stand_in
644,561,137D,0,Dickson,TN,37055,Dickson,47043,0,26826,373,3,1,zip,1.5,36.077209,-87.442803,registry_stand_in
645,562,137E,0,Dickson,TN,37055,Dickson,47043,0,26826,373,3,1,zip,1.5,36.077209,-87.442803,registry_stand_in
646,563,137F,0,Dickson,TN,37055,Dickson,47043,0,26826,373,3,1,zip,1.5,36.077209,-87.442803,registry_stand_in
647,564,137G,0,Dickson,TN,37055,Dickson,47043,0,26826,373,3,1,zip,1.5,36.077209,-87.442803,registry_stand_in
648,565,137H,0,Dickson,TN,37055,Dickson,47043,0,26826,373,3,1,zip,1.5,36.077209,-87.442803,registry_stand_in
